"","Country_Standard","OZONERAW","PM10RAW","INDOORRAW","NLOADRAW","OVRSUBRAW","HARVESTRAW","AGSUBRAW","MORTALITYRAW","ENEFFRAW","CO2GDPRAW","RENPCRAW","OVRFSHRAW","WATSUPRAW","ACSATRAW","PWIRAW","PACOVRAW","WATAVL","NOXKM","SO2KM","VOCKM","COALKM","CARSKM","FOREST","TFR","EFPC","U5MORT","DISCAS","DISEXP","GASPR","ENEFF","ISO14","CO2GDP","CO2PC","WIND","DRY","WET","HOT","COLD","SST","VOLCANO","EARTHQK","TSUNAMI","SLIDES","LAND","DISP","ISOL","RELIEF","BORD","IMBAL","OPEN","MIG","ENDEM","INTRO","ENDANG","EXTINCT","FRAG","FARM","FERTL","BIOTECH","PRDOF","SULPH","MINING","VEH","POPDN","TOUR","CSTPOP","AGRMT","CLMCHG","FERTCON","LIFEEXP","SECENR","CULTOT","PRODHA","MTCATCH","CATCHSC","LANDAREA","WATICEAREA","TOTALAREA","INDOOR","ECORISK","PRTBRD","PRTMAM","PRTAMPH","ANTH10","ANTH40","ACEXC","GR2050","WATSTR","FORCERT","UND_NO","WATSUP","PRAREA","RENPC","PECR","ENROL","LOW","VEG","VEGLO","DEG","RESRV","WATER","POPGRTH","CROPLAND","FORESTAR","POPCOAST","CHLDIMM","URBANPCT","INVEST","MODPCT","CULPCT","CEREAL","STARCH","SUGARS","OILNUTS","PULSES","FRUIT","MEATS","DAIRY","FPPCT","FSPCT"
"141","Romania",44.57,73.8,9,1445.1,17.24,1.15,4.82,1.05,9463.64,718.19,9.67,4,57,51,16.77,0.25,9.2,2.06,5.14,1.76,1.21,15.91,0.2,1.23,2.46,21,0.41,0.36,1.05,11.12,0.66,718.19,4.96,428.055577118006,-51,21.6,344.378286218715,154.306937250112,15.788,0,0,0,4.34140835286967,230340,13.9098723625944,0,2544,7,0.417792595159283,54.0418511765217,0.295215767995138,177.997742467657,0.12590084223322,0.256143092819311,0,0.862160284796388,3322.82636120518,1762.1776504298,0,276609.663601082,4.55895632543197,0.000217070417643484,10.3715767995138,96.9306242945211,13.6739891754218,20.2097844827586,117,1.2231,338.71,69.3,85,10478,2.8,1.63,33,237056.1,213.08,237269.18,9,100,3.24,20.24,0,0.12,4.72,19.27,-27,1.92,0.49,0,57,2.5,9.88,100,27.32,46.8926553672316,41.5,-0.02,100,4.6,77.7750165173611,-0.210159054515836,42.732,28,6,97,55.94,15.43,48.6,45.5,86,99,91,100,98,100,100,99,97,27
"142","Russian Federation",48.01,25.79,1,16.36,2.06,0.2,0,1.21,22507.43,913.98,6.12,4,96,87,9.57,0.91,24.65,0.67,2.08,1.23,1.56,7.84,-0.109028571428571,1.39,4.28,21,0.06,0.09,0.57,21.93,0.04,913.98,10.32,343.242240578675,-17.8,20,77.6058665786044,52.5772330687518,13.758,26.8229860556,1,0.13598,0.177635669242384,16888500,7.71530923409421,0,5661,16,-0.0500691084485883,5.3329188501051,0.00941469046984635,2.07241614116115,0.000769754566716997,0.00763833377742251,0.000118423779494923,0.0337934097166711,117.740563254285,128.806821209699,12,163780.828744299,0.57866121917281,0.000118423779494923,0.930925659472422,8.70023980815348,1.09482784143056,1.98469458797933,159,2.7571,132.51,66.96,95,154116,2.1,1.37,27,16679992.73,80269.92,16760262.65,1,17.59,6.05,16.73,0,72.38,0.91,0.33,-17,2.91,0.25,4,96,7.6,6.74,91.0238414634146,64.09,64.4951140065147,68.7,0,22.3421731987796,3.1,1.78774,-0.363681317197061,7.5689,50.4,15,87,77.34,13.36,24.8,9.1,93,94,85,97,91,58,79,100,87,100
"143","Rwanda",14.14,35.15,100,524.67,0,16.16,0,22.25,1298.33,75.71,7.12,4.32624113475177,73,41,21.76,1,1.88,0.32,0.49,5.13,0,1.11,-3.9,5.8,0.78,203,0.34,0.97,1.38,1.25,0,75.71,0.07,822.165222929936,-31.8,39.2,10.2685647058824,0,8.23519272108843,0,0,0.297734705555556,0,24670,36.1978111066072,0,3569,4,0.07288927129776,19.7811106607215,1.25658694770977,1134.98175922173,0.283745439805432,0.891771382245642,0,0.603972436157276,633.991382245642,0,0,616860.446235162,0.488042156465343,0.0161493068504256,0.626915281718687,313.457640859343,0.0810701256586948,0,41,0.02461,4.71,40.82,16,1308,3.8,0.65,13,24348.89,0,24348.89,100,53.51,1.75,5.3,21.62,1.85,0.43,0,104,0,0,41,73,7.7,12.15,100,1.67,0,16.1,-0.16,73.0769230769231,13.8,12.2222,1.15680602739279,43.373,12.5,0,66,6.1,14.25,40.3,53,38,100,58,26,85,100,100,93,75,75
"144","Saudi Arabia",45.31,105.94,0,27.33,51.64,0,0,1.03,18749.29,631.76,0,3,90,67.1454545454545,13.44,1,0.35,0.2,0.56,4.1,0,4.61,0,4.81,4.05,28,0,0,0.39,17.6,0.03,631.76,16.91,265.535268287136,-21,3.8,79.2990041297507,191.793360254794,10.749,2.79110011210919,0,0,0,2149690,5.58359577427443,0,3133,12,0.125595374424854,24.0183468314036,0.0237243509529281,1.86073340807279,0.00837330033632756,0.0130251338565095,0.000465183352018198,0.0704613223301964,1786.20161387381,174.60191934651,0,811956.27506842,0.33359693723281,359.615111363034,0.904609501835148,10.0512166870572,1.72117840246733,8.61768885367142,57,3.0775,883.24,71.91,67,7661,6.7,1.72,34,1942660.31,1277.3,1943937.6,0,0,9.68,11.69,0,49.29,0.58,0,120,90.73,0,3,80.2409375,41.8,0,67,22.44,20.7236842105263,0,-0.76,33.4724540901503,2.3,708.333,3.33092287849174,1.7817,0.7,30,92,85.12,20.1,26.5,3.6,18,81,0,4,77,65,67,31,43,25
"145","Serbia and Montenegro",45.04,25.98,14,60.87,1.57,1.1,0,0.6,32139.11,837.5,16.03,4.32624113475177,93,87,0.8,0.09,17.93,2.31398692810458,2.02892617449664,3.68503225806452,2.99,42.1457055214724,-0.1,1.71,2.54724137931034,19,0.38,0.16,1.21,8.20536144578313,0.919329608938547,837.5,3.96,386.967006618926,-46.4463276836158,32.5446327683616,266.380170789844,127.417382070942,8.23519272108843,0,0,0,0,102000,23.9705882352941,0,2656,8,0.07288927129776,1877.38031268493,3.6468062016144,0,0.0294117647058824,0.480392156862745,0.00980392156862745,0.4765,1786.20161387381,1750.50980392157,0,616860.446235162,5.14666666666667,631.810236303922,15.6470588235294,104.313725490196,2.13235294117647,43.3085427135678,76.1277777777778,1.41884610516129,1576.68641891892,66.2676774193548,89,4309,3.3,5,65,101566.18,30.81,101597,14,100,2.23,12.5,4.17,0.08,7.44,0,-4,20.29,0,9,93,3.7,14.4985714285714,100,26.16,0,30.4293333333333,0,93.7007874015748,3.3,77.7750165173611,0.1,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,52.3,42.2,98,100,100,89,98,99,99,98,98,42
"146","Sudan",36.32,246.38,100,575.98,10.67,3.7,0,13.16,2156.13,147.6,9.8,4,69,34,5.39,0.48,6.44,0.18,0.11,1.7,0,0.07,-1.4,5.35,1.2,94,294.62,0.34,0.49,2.37,0.02,147.6,0.17,430.448514446437,-7,7.8,29.4742307373882,30.0278532910963,8.63,0,0,0,0,2376000,577.341161425333,0,3187,10,-0.0948295710114905,0.679292929292929,0.0265151515151515,29.8821548821549,0.00252525252525253,0.021043771043771,0,0.691739812823345,0.0443652356902357,28.4511784511785,0,257918.391210239,0.055736531986532,50.5495611230599,0.124116161616162,12.4116161616162,657.701573397486,3.67804008908686,52,0.040714,46.35,55.26,35,28103,1.2,1.91,38,2492385.4,719.03,2493104.43,100,52.42,0.88,8.24,0,44.24,0.11,0,115,31.13,0,25,69,4.9,8.7,48,6.85,2.9126213592233,0,-0.83,17.2804532577904,3.4,50.8571,2.85223576156932,7.1128,25.9,3,79,35.14,0.02,57.6,11.8,100,100,100,100,96,100,100,99,99,95
"147","Senegal",30.17,92.26,79,3779.7,13.35,3.14,0,13.89,3905.13,196.73,0,6,72,52,19.82,1,3.34,0.05,0.15,1.2,0,0.86,-0.7,5.12,1.23,138,0,0.554934210526316,1.23,3.84,0.13,196.73,0.45,199.775624341619,-15.8,12.8,30.9419016503067,18.3939588143689,7.656,0,0,0,0,192530,20.6045811042435,0,581,5,-0.18254066201508,8.91289669142471,0.270087778528022,145.431880745858,0,0.150625876486781,0,0.0757076819197008,179.317508959643,141.235132187192,0,40382.4660500911,0.197008258453228,11.7473297667896,0.492442736196956,49.2442736196956,2.21523918350387,59.4437980406933,84,0.11285,102.69,52.34,19,2948,1.1,4.54,63,196150.99,0,196150.99,79,100,1.04,6.25,0,7.47,0.58,0,126,17.73,0,24,72,11,0,86,25.332323943662,0,16,-0.66,35.2040816326531,11.1,5.15152,2.9780743798194,11.77,32.2,83,65,46.68,21.33,81.5,15.3,54,80,93,82,83,98,95,47,79,100
"148","Singapore",20.98,41.01,0,16731.0132727273,13.5706060606061,7.94425925925926,0,0.26,16660.09,141.74,0,5,81.4008771929824,67.1454545454545,32.31,0.55,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0,960.7,0,1.26,2.54724137931034,4,39.3760810810811,1,1.39,15.59,4.72,141.74,14.71,125.209895690829,-54.4,105.4,0.718787280701754,0,7.174,0,0,0,0,610,439.344262295082,5,166,2,-0.110025740968445,236340.983606557,45.9016393442623,4918.03278688525,63.9344262295082,114.754098360656,0,5.02622950819672,32704.9180327869,5322.95081967213,0,70703.5706128664,685.918032786885,0,701.704918032787,5847.54098360656,11600,5847.54098360656,49,8.1972,20630,77.2,71.6473988439306,1,4.80584795321637,2.23,42,592.54,0,592.54,0,100,5.93,3.53,0,0,89.42,0,6,25.2959731543624,0,16.9328859060403,80.2409375,5.5,0,91.0238414634146,25.332323943662,100,3.1,0,37.2755101651497,4.7,77.7750165173611,3.58162400161861,1.6393,3.7,100,89,100,32.48,44.3,1.6,60.7167630057803,87.5838150289017,67.4219653179191,69.7514450867052,86.635838150289,83.5086705202312,85.1734104046243,71.3236994219653,76.4682080924856,71.9239766081871
"149","Solomon Islands",30.21,31.2,44.31875,0.56,0,7.94425925925926,0,6.15,3303.77,166.46,0,4,70,31,2.2,0.12,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0,42.1457055214724,-0.2,4.84,2.54724137931034,24,39.3760810810811,0.3,0.996625766871166,3.48,0,166.46,0.38,276.954176987778,-5,13.8,4.12182971153955,9.80049304069936,4.972,1036.08431582708,4,1.01215,0,27990,352.983208288675,1950,2447,3,0.274776416105134,10.4322972490175,0.535905680600214,4072.88317256163,0.14290818149339,2.50089317613433,0.0714540907466952,0.0485887817077528,219.078242229368,0,0,425067.25268291,0.0328688817434798,0,17.8193832454895,15.8628081457663,0.60735977134691,15.8628081457663,60,1.41884610516129,1576.68641891892,66.2676774193548,61,82,1.8,0.76,15,28707.41,190.85,28898.26,45.1656050955414,0,14.11,37.74,10.53,19.9,0,0,112,25.2959731543624,1.55,16.9328859060403,70,0.1,0,91.0238414634146,25.332323943662,71.4285714285714,93.9,-0.19,0,0,77.7750165173611,3.05623839002647,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,70.2,2.9,0,100,0,100,93,96,82,34,63,100
"150","Sierra Leone",19.92,62.66,92,3.77,0,3.66,0,41.63,3450.89,200.21,0,4,57,39,10.35,0.78,27.94,0.48,2.02892617449664,1.39,0,0.47,-2.9,6.5,0.88,284,0.14,0.38,0.84,4.79,0,200.21,0.13,207.105449275362,-24,20.8,7.28307163323782,17.9976436781609,5.056,0,0,0,0,71620,36.7913990505445,0,1948,2,-0.010070494900625,2.03853672158615,0.572465791678302,1089.08126221726,0.0139625802848366,0.991343200223401,0,0.157777157218654,74.4764032393186,45.7414130131248,0,197373.877915859,0.224518290980173,0.0279258894677464,0.271097458810388,67.774364702597,0.102392255422135,37.0725774923206,57,1.41884610516129,1576.68641891892,66.2676774193548,26,772,1.4,2.73,47,72617.41,21.23,72638.64,92,100,2.15,8.16,3.64,0.02,0.19,0,100,0,0,50,57,4.5,0,79,2.18,63.6363636363636,9.7,-3.02,38.3561643835616,1.1,0.23125,3.70739422515357,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,83.2,10.8,52,100,71,98,95,100,93,68,85,100
"151","El Salvador",53.9,43.1,65,20.1,0,17.98,0,2.15,3642.74,164.71,29.72,4,82,63,0.41,0.12,3.4,1.67,0.7,0.6,0,19.65,-4.6,2.97,1.72,39,8.82,1.23,0.75,3.57,0,164.71,1.07,466.111278435376,-11.4,16.4,2.7841389900514,1.1770659832774,4.302,6998.0694980695,0,0,0,20720,62.7895752895753,0,2730,2,0.428350974637145,187.5,1.496138996139,1013.51351351351,0.530888030888031,1.496138996139,0,0.484025096525097,4326.86670849421,4174.51737451737,0,433100.381944444,1.34218146718147,0,8.78397683397683,302.895752895753,32.0945945945946,299.261003861004,51,0.21728,1633.6,69.48,59,879,6.3,0.38,8,20278.94,0,20278.94,65,95.14,0,1.48,25.81,0.02,11.19,0,48,0,0,14,82,2,31.34,100,17.53,25,9.9,-3.33,95.2380952380952,0.2,4.12429,1.8807140529668,39.093,5.8,99,97,46.28,16,47,42.4,63,89,100,53,76,73,70,64,73,72
"152","Somalia",25.04,39.01,44.31875,154.18,57.78,7.66,0,25.91,2386.19,365.719382022472,0,2,29,25,7.35,0.26,3.83,0.05,2.02892617449664,0.5,0,0.06,-1,7.11,1.05,225,19.52,1.36,0.57,8.20536144578313,0,366.078314606742,4.67011173184358,966.453383333333,-42.8,8.8,56.7243424796748,94.6084722222222,4.118,0,0,0,0,627340,9.94357126916823,0,2416,4,0.0010873672105648,1877.38031268493,0.0908598208308095,916.568368030095,1.21624299471486,0.0828896611088086,0,0.0352281059712437,0.699161539197245,0,0,2975470.072,0.0369974814295278,0.00255045111104027,17.8193832454895,16.0949405426085,0.0159403194440017,14.194858902001,36,0.01795,4.81,47.55,71.6473988439306,2126,4.80584795321637,1.86,37,634315.32,170.42,634485.73,45.1656050955414,0.33,2.37,11.11,0,36.71,0.02,0,207,21.05,0,71,29,0.3,0,91.0238414634146,25.332323943662,52.6315789473684,0,-0.16,14.785373608903,0.3,13.5,3.24874602534048,1.6929,12,55,18,27.12,14.9,63.9,3.4,60.7167630057803,87.5838150289017,67.4219653179191,69.7514450867052,86.635838150289,83.5086705202312,85.1734104046243,71.3236994219653,76.4682080924856,71.9239766081871
"153","Sao Tome and Principe",11.74,52.27,44.31875,16731.0132727273,13.5706060606061,0.3,0,8.24,8519.64067039106,475.58,5.04,2,79,24,0,0.34,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0,42.1457055214724,0,4.25,2.54724137931034,118,39.3760810810811,0.554934210526316,1.48,8.20536144578313,0,475.58,0.59,317.724,-19,8.4,0,0,5.506,0,0,0,0,1001,208.791208791209,225,2024,2,0.211879138964146,1877.38031268493,6.99300699300699,5518.2432458196,0,41.958041958042,0,0.624629737420906,209.799500499501,3637.70225810391,0,1726363.66097325,0.41958041958042,0,17.8193832454895,164.869130869131,4.99500499500499,139.292120238554,28,1.41884610516129,1576.68641891892,66.2676774193548,39,41,1.2,0.29,6,1007.95,0,1007.95,45.1656050955414,0,4.59693333333333,14.9130322580645,50,0.44,1.59,0,112,25.2959731543624,0,16.9328859060403,79,0,14.4985714285714,100,25.332323943662,100,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,1.43727774154212,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,49,42.7,25,99,0,100,91,100,82,5,63,84
"154","Suriname",25.06,50.72,69,6.48,0,0.01,0,1.37,25729.62,773.54,39.33,2,92,93,14.54,1,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0,10.58,0,2.54,2.54724137931034,40,39.3760810810811,0.554934210526316,0.92,8.20536144578313,0,773.54,4.99,103.654973279278,-52.8,35.2,0,9.42193858128677,5.75,0,0,0,0,156000,14.9166666666667,0,1232,3,0.00144041407373191,2.91025641025641,0.147435897435897,64.1025641025641,0.0256410256410256,0.288461538461538,0,0.0286538461538462,13.9528269230769,39.9423076923077,0,1793971.55453531,0.0301923076923077,3.90340769230769,0.326115384615385,2.67307692307692,0.358974358974359,5.85145161290323,51,1.41884610516129,1576.68641891892,66.2676774193548,74,77,4.3,2.26,43,141113.67,641.95,141755.62,69,0,0.17,6.67,2,88.77,0.19,0,-19,25.2959731543624,0,11,92,12.7,39.33,100,7.02,61.1111111111111,95.6,-0.08,0,4.5,0.23,0.624850742981152,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,5.4,0.5,100,57,86,74,91,100,58,50,77,100
"155","Slovakia",44.42,32.42,5,62.57,0,1.31,20.43,0.52,11137.98,419.3,4.4,4.32624113475177,100,100,4.36,0.57,14.41,2.08,2.08,1.8,3.3,29.36,0.9,1.21,3.27,9,0.49,0.31,1.21,11.54,1.06,419.3,7.8,343.242240578675,-31.6,35.4,77.6058665786044,52.5772330687518,8.23519272108843,0,0,0.297734705555556,0,48080,31.6971713810316,0,2561,5,0.07288927129776,257.217138103161,0.915141430948419,1913.4775374376,0.0207986688851913,0.915141430948419,0,0.888373544093178,3942.48213394343,2570.40349417637,0,616860.446235162,9.76871880199667,0,22.1844009983361,112.042429284526,20.2717692734332,0,85,2.151,796.14,72.57,92,1704,5,3.22445859872611,40.343949044586,48874.99,0,48874.99,5,100,1.91,10.59,0,0.33,9.44,27.23,-13,0,2.01,5,100,22.5,6.27,94,30.32,58.3333333333333,30.4293333333333,0.12,37.2755101651497,22.1,10.8462,0.129087588730382,33.361,42.5,0,98,57.32,40.76,61.5,35.4,100,92,98,100,96,52,100,100,92,100
"156","Slovenia",44.6,35.5,0,53.59,0,0.82,8.13,0.46,7897.55,171.74,10.83,7,100,100,0,0.04,14.98,3.23,3.59,1.87,2.69,47.65,0.2,1.2,3.52,5,0,0,1.25,7.87,5.63,171.74,8.2,304.83240712793,-46.4463276836158,32.5446327683616,139.271002193355,109.82416232524,16.922,0,0,0,0,20120,68.3399602385686,0,2864,4,0.0254865806628066,528.37972166998,2.5844930417495,1093.4393638171,0.099403578528827,4.22465208747515,0,1.00029821073559,2999.18081510934,3654.57256461233,0,349.264423691953,4.46123260437376,1214.9784194831,36.0283300198807,98.7077534791252,48.8899933730948,293.540487804878,103,2.2626,3202.2,74.81,109,336,5.4,1.8,36,20223.97,0,20223.97,0,81.47,0.48,12,10,2.41,7.35,40.11,-15,0,0,0,80.2409375,7.4,11.46,100,60.55,30,30.4293333333333,0,80,5.9,2.7027,0.131718677127381,14.165,55,61,82,50.34,24.21,78.4,16.7,53,96,82,11,61,75,99,100,72,9
"157","Sweden",41.97,15.27,0,18.49,0.35,2.31,0.64,0.17,8238.3,43.94,28.09,4,100,100,12.84,0.73,15.77,1.16,0.27,1.96,0.4,20.81,-0.109028571428571,1.73,7.95,3,0,0.554934210526316,1.74,9.09,9.94,43.94,6.24,309.327646471287,-20,32.4,180.948644737074,378.299116211377,15.874,0,0,0,0,411620,69.4548369855692,0,2111,9,-0.109918949487859,205.964238861085,0.138477236285895,2.42942519799815,0.0388708031679705,0.063165055147952,0,0.512390068509791,562.234858558865,768.395607599242,70,261694.458801771,0.713959477187697,0,8.93987172634955,21.6461785141635,6.40882367231913,18.9836985569214,202,1.7321,1104.2,79.18,139,3426,5.4,6.1,70,431704.25,6077.97,437782.22,0,29.03,0.8,10,0,43.62,3.77,34.37,18,1.73,37.11,1,100,7.2,32.4,99,70.04,37.0030581039755,86,-0.01,25.1111111111111,8.1,1.53371,0.0225514287530378,6.7635,65.9,88,96,83.26,13.68,68.2,8.3,100,77,100,45,49,12,98,96,72,100
"158","Swaziland",27.96,39.55,88,206.47,4.02,4.45,0,19.88,3948.16,64.82,9.21,4.32624113475177,52,52,0.7,0.46,27.1595973154362,1.15,0.11,4.59,0.4,9.09,1.2,4.5,2.54724137931034,149,39.3760810810811,1.14,0.77,2.96,0,64.82,0.37,307.333743352601,-49,42.8,120.315067498582,17.5474146341463,8.23519272108843,0,0,0.297734705555556,0,17203,31.0992268790327,0,1841,2,0.07288927129776,1877.38031268493,2.09265825728071,5518.2432458196,0.581293960355752,0.697552752426902,0,0.00136658249158249,188.198767656804,3637.70225810391,0,616860.446235162,0.273789455327559,0.10694503493266,17.8193832454895,64.1947916061152,18.5432773353485,139.292120238554,38,0.32005,261.9,56.27,45,367,29.2,3.22445859872611,40.343949044586,17409.73,0,17409.73,88,0,4.59693333333333,14.9130322580645,0,0,2.83,0,60.4184782608696,25.2959731543624,3.26,12,52,3.5,13.1,96,5.15,33.3333333333333,30.4293333333333,-0.617032258064516,0,7.37727272727273,77.7750165173611,1.94352568889742,10.465,30.3,47.7872340425532,57,26.12,12.25,75.8,21.3,64,51,100,100,54,100,80,75,78,71.9239766081871
"159","Seychelles",19.94,58.1812138728324,44.31875,16731.0132727273,13.5706060606061,0,0,6.56508379888268,11503.61,89.71,0,2,87,67.1454545454545,16,0.567103825136612,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,2.64309392265193,43.96,0,2.01,2.54724137931034,16,39.3760810810811,0.554934210526316,0.996625766871166,8.20536144578313,0.919329608938547,89.71,2.88,365.110696439866,-61.2,88.2,0.104558559995463,122.292734564482,3.434,0,0,0,0,455,1079.12087912088,475,905,0,0.440129149601149,1877.38031268493,30.7692307692308,5518.2432458196,4.3956043956044,151.648351648352,8.79120879120879,0.624629737420906,4158.46153846154,3637.70225810391,0,2209047.39223894,1.32786885245902,0,17.8193832454895,175.197802197802,280.586080586081,175.197802197802,64,1.41884610516129,1576.68641891892,66.2676774193548,111,8,2.4,3.46,55,195.62,0,195.62,45.1656050955414,0,4.59693333333333,14.9130322580645,54.55,36.39,14.02,0,11,25.2959731543624,0,16.9328859060403,87,7.5,0,100,25.332323943662,100,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,0.490381463832791,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,71.1,17.8,0,7,0,70,36,34,73,2,28,100
"160","Syrian Arab Republic",45.14,102.08,19,184.21,55.58,0.39,0,0.73,14075.96,1152.24,12.58,6,79,77,1.44,0.03,2.5,0.21,0.71,1.97,0,2.85,0,3.8,1.74,28,0,0.49,0.87,13.21,0.55,1152.24,3.27,577.829329465666,-24.8,15.8,113.601372607257,35.303371242523,12.606,0,0,0,0,183780,13.4127761453912,0,3014,6,0.218102487670462,27.7070410273153,0.26662313635869,21.7651539884645,0.0707367504625095,0.0979431929480901,0.00544128849711612,0.227402328871477,0.734330177386005,2042.81205789531,0,45278.7135278515,1.91424529328545,63.7799575579497,0.877407770159974,87.7407770159974,4.49722494286647,262.411556603774,65,0.8475,772.07,69.17,48,6478,2,4.01,60,184365.81,314.79,184680.6,19,27.59,3.92,6.35,0,0.21,3.1,0,95,99.58,0,4,79,1.9,12.45,100,25.332323943662,11.7647058823529,0,-2.24,60.3260869565217,0,205.857,2.59510517176889,29.84,2.6,34,93,54.04,28,51.8,35.2,100,100,69,98,100,100,99,97,95,30
"161","Chad",36.76,160.58,100,9071.14,16.44,5.32,0,26.37,288.26,21.15,0,4.32624113475177,34,8,7.03,1,8.07,0.17,0.1,0.96,0,0.05,-0.6,6.6,1.31,200,28.5,0.14,1.3,0.34,0,21.15,0.02,498.393242802535,-5.8,10.2,9.15679011253865,39.5602329593209,8.23519272108843,0,0,0.297734705555556,0,1259200,4.73951715374841,0,3055,6,0.07288927129776,0.466168996188056,0.034148665819568,1.58831003811944,0,0.0206480304955527,0,0.0265247776365947,1.66642153748412,7.75730622617535,0,616860.446235162,0.0337118805590851,0,0.0121521601016518,6.07608005082592,0.0349428208386277,0,41,0.0062776,36.89,48.48,15,6516,1,1.57,31,1243139.16,3625.91,1246765.07,100,45.66,1.35,11.19,0,65.66,0.01,0,206,1.95,0,34,34,9.4,0,70,0.88,0,0,-0.84,23.8689547581903,9,1.2,3.35419153459954,2.8193,10.1,0,24,23.48,17.79,40.5,5.2,91,100,96,86,100,100,100,96,96,99
"162","Togo",19.13,46.02,96,82.93,0,12.58,0,12.72,2316.12,335.49,0.16,6,51,34,29.64,1,3.8,0.3,0.07,0.56,0,0.94,-3.4,5.5,0.86,141,0.04,0.06,0.92,2.37,0,335.49,0.39,144.12206758602,-15.2,12.6,4.63024406717183,12.6211246490215,4.652,0,0,0,0,54390,31.2557455414598,0,986,3,0.141319879844598,13.3112704541276,0.735429306857878,73.5429306857878,0.018385732671447,0.367714653428939,0,0.138260709689281,0.359200588343446,268.063982349697,0,51739.1097240473,0.231292517006803,34.30777716492,1.61704357418643,85.107556536128,1.21958693387265,389.534716981132,68,0.036608,67.15,48.62,36,2471,1.3,2.2,42,57276.95,0,57276.95,96,100,0,4.59,14.29,0,0.59,0,74,0,0,25,51,11.3,0.17,100,3.72,60,7,-1.44,54.3859649122807,7.6,0.782609,2.68179628104163,42.287,9.4,45,33,32.78,13.58,49.8,45.4,100,100,0,100,95,99,93,32,77,24
"163","Thailand",39.64,76.06,72,24.72,8.79,11.03,3.26,1.3,6653.76,315.73,3.19,7,85,99,31.35,0.77,8.59,0.56,1.07,4.93,0.68,13.5,-0.7,1.7,1.41,28,1.91,0.94,0.59,6.75,1.7,315.73,3.26,154.245741122441,-58.2,93.4,2.13408025492636,9.90655553921532,5.276,0,0,0,0,510890,23.3494490007634,0,2576,4,0.308301098244694,141.785903031964,0.0939536886609642,3443.01121572158,0.0548063183855624,0.366027912075006,0.00195736851377009,0.126446005989548,0.975412554561647,3001.37994480221,2,16955.8484160437,2.40371053329642,0.058564465932001,3.32126289416508,118.616531934467,16.3264107733563,45.9045978586388,57,0.69727,865.55,72.34,81,21054,4.3,5.53,68,513634.82,719.87,514354.69,72,97.52,6.01,13.96,2.34,0.87,4.06,0.27,15,0.64,0.01,19,85,15.7,2.5,91,35.27,0,22.2,-2.65,78.2101167315175,13.8,15.7762,0.925802561629285,39.881,28.9,39,92,21.28,21.3,45,41.2,100,100,100,96,100,100,100,21,90,100
"164","Tajikistan",49.23,63.6,100,108.31,14,0,0,7.5,37288.94,878.6,59.78,4.32624113475177,58,53,17.17,0.54,11.03,0.16,2.61,0.79,0.02,1.46,0.5,3.06,0.65,72,0,0.38,0.59,35.43,0,878.6,0.65,343.242240578675,-21.8,11.4,77.6058665786044,52.5772330687518,8.23519272108843,0,0,0.297734705555556,14.2247510668563,140600,25.9672830725462,0,7195,5,0.07288927129776,5.69701280227596,0.19203413940256,14.2247510668563,0,0.163584637268848,0,0.0974395448079659,1.64395448079659,411.450924608819,0,616860.446235162,0.0376955903271693,0,17.8193832454895,44.0113798008535,657.701573397486,0,19,0.27023,834.21,68.51,86,1255,1.7,3.22445859872611,40.343949044586,130110.95,900.76,131011.71,100,48.93,4.59693333333333,10.71,0,32.83,2.08,0,52,94.82,0,71,58,18.3,65.31,100,14.04,15.3846153846154,4.2,0,6.99300699300699,7.37727272727273,17.9035,2.14182176808475,6.33,2.8,0,95,27.5,14.65,79.2,8.9,32,78,2,84,100,100,80,94,71,100
