"","Country_Standard","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY"
"158","Swaziland",4,5.5,2.6875,2.57142857142857,2,0.38,-0.26,-0.93,-0.44,-9
"159","Seychelles",2,3,2.84210526315789,4.42857142857143,4.75,0.44,0.52,-0.67,0,2.77006369426752
"160","Syrian Arab Republic",6,7,3.71428571428571,2.25,3.90909090909091,0.67,-0.29,-0.41,-0.57,-7.4
"161","Chad",4,5.5,2.04166666666667,1.75,2.7,0.63,-1.02,-0.93,-0.75,-1.6
"162","Togo",6,5.5,2.75862068965517,2.625,3.72727272727273,0.81,-0.68,-0.67,-1.17,-2
"163","Thailand",7,2.5,3.46875,2.375,3,0.79,-0.15,0.3,0.28,9
"164","Tajikistan",4,5.5,2.70588235294118,3,2.1,0.29,-1.07,-1.27,-1.23,-2.4
"165","Turkmenistan",4,7,2.68421052631579,1.875,1.88888888888889,0.39,-1.21,-1.16,-1.47,-9
"166","Tonga",2,4,3.27272727272727,5,5.125,0.3,-0.44,0,-0.64,2.77006369426752
"167","Trinidad and Tobago",3,3,2.96,3.75,4.18181818181818,0.69,-0.04,0.34,0.47,10.6
"168","Tunisia",4,5.5,3.48275862068966,2.125,2.90909090909091,0.79,0.35,0.27,0.65,-4.1
"169","Turkey",6,3.5,3.58620689655172,3.25,3.54545454545455,0.76,-0.38,0,-0.2,6.4
"170","Taiwan",4,2,3.64705882352941,3,3.42857142857143,0,0.81,0.95,1,9.3
"171","United Republic of Tanzania",6,3.5,2.25,2.875,3,0.75,-1,-0.49,-0.51,-0.1
"172","Uganda",4,5,2.75,2.25,4,0.73,-0.92,-0.84,-0.41,-4
"173","Ukraine",5,4,3.5,2.5,2.90909090909091,0.63,-0.96,-0.79,-0.74,7.7
"174","Uruguay",4,1,3,1.75,2.27272727272727,0.65,0.79,0.56,0.51,10
"175","United States of America",6,1,3.3448275862069,2.625,2,0.71,1.77,1.7,1.7,10
"176","Uzbekistan",4,6.5,3,2.375,2.8,0.58,-1.03,-1.16,-1.1,-9
"177","Saint Vincent and the Grenadines",4,1.5,2.71428571428571,4.42857142857143,4.5,0.48,0.4,-0.32,-0.06,2.77006369426752
"178","Venezuela",5,3.5,3.13793103448276,2.625,2.36363636363636,0.82,-0.94,-1.04,-1.14,6.4
"179","Viet Nam",5,6.5,3.59259259259259,3,4.3,0.58,-0.68,-0.39,-0.27,-7
"180","Vanuatu",3,1.5,2.73913043478261,4.125,1.7,0.32,-0.44,-0.95,-0.64,2.77006369426752
"181","Samoa",4,2,3.08695652173913,4.375,3.44444444444444,0.55,-0.06,-0.27,-0.26,2.77006369426752
"182","Yemen",3,5.5,2.48275862068966,2.5,3.72727272727273,0.42,-0.69,-1.23,-0.87,-2
"183","South Africa",5,1.5,3.5,2.25,3.45454545454545,0.76,0.36,0.19,0.52,9.9
"184","Zambia",4,4,2.20833333333333,2.375,1.6,0.62,-0.97,-0.52,-0.93,1.5
"185","Zimbabwe",4,6,2.375,2,1.44444444444444,0.46,-1.17,-1.33,-0.8,-7
