"","Country_Standard","ENVHEALEPI","BIODIVEPI","ENERGYEPI","WATEREPI","AIREPI","RESMGTEPI","ESI2005","SYSTEM","STRESS","VULNER","CAP","GLOBAL","FUNDING","WI","HWI","EWI","FOODSC","ECONSZSC","DEBTSC","ESC","POSC","GESC","EI","LANDDSC","LANDQSC","FPSC","FSHSC","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY","EVI"
"136","Puerto Rico",63.486013986014,49.1798701298701,82.1,99.9,53.7,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,50.7821428571429,42.2527777777778,40.6666666666667,43.8388888888889,60.7371428571429,38.2222222222222,34.8901734104046,53.5602409638554,53.0514285714286,44.6404494382022,44.3483146067416,43.9222222222222,58,50.6496815286624,39.9661016949153,2,3.5,2.47058823529412,3.71428571428571,5.11111111111111,0,1.19,1.3,1.17,2.77006369426752,334.375
"137","Democratic People's Republic of Korea",63.7,28.2,66.7471264367816,96.5,29.1,72.2,29.2,36.6,41.7,17,25.3,15.6,17.95,33,21,45,16,34,34.8901734104046,53.5602409638554,24,40,40,37,79,22,22,6,7,3.875,3.14285714285714,3.63636363636364,0.36,-1.18,-1,-1.78,-9,363.414634146341
"138","Portugal",97.4,54.6,79.1,89.2,50.1,69.1,54.2,44,42.5,74.1,66.9,56.3,64,51.5,72,31,90,69,64,86,71,57,56,26,52,30,17,6,1,3.51612903225806,2.75,3.45454545454545,0.89,1.33,1.3,1.03,10,334.69387755102
"139","Paraguay",63.7,43.8,69.9,78.3,53.9,100,59.7,75.5,50.6,54.5,43.6,72.8,60.9,40.5,35,46,66,35,62,55,40,43,25,47,59,50.6496815286624,76,4,3.5,2.96,2.125,1.9,0.87,-1.22,-1.12,-1.29,5.9,259.52380952381
"140","Qatar",94.2,49.1798701298701,66.7471264367816,82.3,43.5,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,50.7821428571429,32,40,24,84,81,34.8901734104046,56,56,13,13,37,73,79,79,2,6,2.41176470588235,2.71428571428571,1.875,0.37,0.92,-0.78,0.69,-10,229.032258064516
"141","Romania",61.2,36.9,47.3,70.6,42.5,65.9,46.2,38.3,56.4,62,45.3,26.9,50.7821428571429,40,50,30,84,43,51,72,77,58,63,30,39,35,11,4,2,3.7,2.75,3,0.65,-0.34,-0.12,-0.33,8.1,335.416666666667
"142","Russian Federation",92.3,61,15.5,98,55.6,83.3,56.1,72.7,60.6,71.1,37.4,25.9,17.31,45,48,42,75,46,32,84,26,55,43,58,76,58,58,4,5,2.69230769230769,3,2.45454545454545,0.75,-0.9,-0.78,-0.4,5.9,272.727272727273
"143","Rwanda",31.1,63.2,87.3,95,91.1,77.3,44.8,44.6,45.8,21.6,35,78.4,32.05,34.5,12,57,31,7,0,21,30,57,57,47,24,24,24,4,6,2.78260869565217,2.5,4.2,0.57,-0.58,-1.01,-0.82,-4.4,297.5
"144","Saudi Arabia",83.6,60.2,33.1,52.6,30.2,88.9,37.8,45.6,43.4,64.4,31.3,8.7,13.46,27,31,23,92,60,71,45,21,36,36,71,30,62,10,3,7,2.96428571428571,2.375,2.27272727272727,0.4,0.57,0.44,-0.05,-10,273.913043478261
"145","Serbia and Montenegro",88.8,25.4,14.1,98,59,100,47.3,44.6,56.2,70.6,35.8,24,50.7821428571429,39.5,42,37,86,22,34.8901734104046,63,42,30,44,25,28,62,17,4,2.5,3.59090909090909,2.28571428571429,3.22222222222222,0.35,-0.8,-0.95,-0.73,-1.5,321.621621621622
